size,p,lam,algo,time_ms,cost,exact_cost,flops
400,1.0,400,Sinkhorn,2949.57,0.2282291064626893,0.25249481883224617,80000000
400,1.0,400,LP,1921.80,0.25249481883224617,0.25249481883224617,nan
400,1.0,400,Greenkhorn,96.04,nan,0.25249481883224617,nan
400,2.0,20,Sinkhorn,2089.65,0.10138521902052734,0.07173827617007765,80000000
400,2.0,20,LP,1905.44,0.07173827617007765,0.07173827617007765,nan
400,2.0,20,Greenkhorn,91.05,0.09469615514709766,0.07173827617007765,nan
400,2.0,50,Sinkhorn,2149.79,0.08053092030962239,0.07173827617007765,80000000
400,2.0,50,LP,1900.61,0.07173827617007765,0.07173827617007765,nan
400,2.0,50,Greenkhorn,93.16,0.0658774424618974,0.07173827617007765,nan
400,2.0,100,Sinkhorn,2563.76,0.07096027468546129,0.07173827617007765,80000000
400,2.0,100,LP,2022.82,0.07173827617007765,0.07173827617007765,nan
400,2.0,100,Greenkhorn,92.97,0.0516842559417775,0.07173827617007765,nan
400,2.0,200,Sinkhorn,3019.53,0.06671058631992194,0.07173827617007765,80000000
400,2.0,200,LP,1978.85,0.07173827617007765,0.07173827617007765,nan
400,2.0,200,Greenkhorn,92.90,0.04137239580260541,0.07173827617007765,nan
400,2.0,400,Sinkhorn,2705.34,0.06092477255108037,0.07173827617007765,80000000
400,2.0,400,LP,1931.75,0.07173827617007765,0.07173827617007765,nan
400,2.0,400,Greenkhorn,95.45,nan,0.07173827617007765,nan
