size,p,lam,algo,time_ms,cost,exact_cost,flops
50,1.0,20,Sinkhorn,104.86,0.35727076698126786,0.3513297120585109,1250000
50,1.0,20,LP,9.19,0.3513297120585109,0.3513297120585109,nan
50,1.0,20,Greenkhorn,74.35,0.3437066610816071,0.3513297120585109,nan
50,1.0,50,Sinkhorn,106.71,0.34482359531659945,0.3513297120585109,1250000
50,1.0,50,LP,8.99,0.3513297120585109,0.3513297120585109,nan
50,1.0,50,Greenkhorn,74.97,0.3329638727131533,0.3513297120585109,nan
50,1.0,100,Sinkhorn,102.91,0.34282328000060414,0.3513297120585109,1250000
50,1.0,100,LP,9.23,0.3513297120585109,0.3513297120585109,nan
50,1.0,100,Greenkhorn,75.61,0.325555632151846,0.3513297120585109,nan
50,1.0,200,Sinkhorn,103.38,0.3338412142324561,0.3513297120585109,1250000
50,1.0,200,LP,9.05,0.3513297120585109,0.3513297120585109,nan
50,1.0,200,Greenkhorn,75.15,0.30822986570276517,0.3513297120585109,nan
50,1.0,400,Sinkhorn,103.92,0.3235236125329723,0.3513297120585109,1250000
50,1.0,400,LP,9.18,0.3513297120585109,0.3513297120585109,nan
50,1.0,400,Greenkhorn,76.05,0.3013377437520419,0.3513297120585109,nan
50,2.0,20,Sinkhorn,105.01,0.13580305766236722,0.12692178338716548,1250000
50,2.0,20,LP,8.81,0.12692178338716548,0.12692178338716548,nan
50,2.0,20,Greenkhorn,75.04,0.12979348707390215,0.12692178338716548,nan
50,2.0,50,Sinkhorn,103.80,0.12754304681321466,0.12692178338716548,1250000
50,2.0,50,LP,8.83,0.12692178338716548,0.12692178338716548,nan
50,2.0,50,Greenkhorn,76.75,0.11324279112457378,0.12692178338716548,nan
50,2.0,100,Sinkhorn,105.12,0.12116655826381154,0.12692178338716548,1250000
50,2.0,100,LP,8.86,0.12692178338716548,0.12692178338716548,nan
50,2.0,100,Greenkhorn,76.85,0.1059748725131178,0.12692178338716548,nan
50,2.0,200,Sinkhorn,104.44,0.11683677711262533,0.12692178338716548,1250000
50,2.0,200,LP,8.78,0.12692178338716548,0.12692178338716548,nan
50,2.0,200,Greenkhorn,75.84,0.09669511149660141,0.12692178338716548,nan
50,2.0,400,Sinkhorn,103.46,0.1121339469073385,0.12692178338716548,1250000
50,2.0,400,LP,9.00,0.12692178338716548,0.12692178338716548,nan
50,2.0,400,Greenkhorn,76.51,0.08593952597082904,0.12692178338716548,nan
100,1.0,20,Sinkhorn,202.71,0.3585727965668534,0.3462423337662204,5000000
100,1.0,20,LP,42.77,0.3462423337662204,0.3462423337662204,nan
100,1.0,20,Greenkhorn,76.09,0.3548455744190895,0.3462423337662204,nan
100,1.0,50,Sinkhorn,235.15,0.34846878388946323,0.3462423337662204,5000000
100,1.0,50,LP,41.67,0.3462423337662204,0.3462423337662204,nan
100,1.0,50,Greenkhorn,76.51,0.33448604416883887,0.3462423337662204,nan
100,1.0,100,Sinkhorn,229.36,0.3450858099193591,0.3462423337662204,5000000
100,1.0,100,LP,53.13,0.3462423337662204,0.3462423337662204,nan
100,1.0,100,Greenkhorn,83.28,0.3223815281039046,0.3462423337662204,nan
100,1.0,200,Sinkhorn,264.96,0.33922394350465856,0.3462423337662204,5000000
100,1.0,200,LP,47.04,0.3462423337662204,0.3462423337662204,nan
100,1.0,200,Greenkhorn,81.90,0.306279041625346,0.3462423337662204,nan
100,1.0,400,Sinkhorn,254.73,0.3248119070161356,0.3462423337662204,5000000
100,1.0,400,LP,45.69,0.3462423337662204,0.3462423337662204,nan
100,1.0,400,Greenkhorn,80.85,0.29735002637670443,0.3462423337662204,nan
100,2.0,20,Sinkhorn,166.78,0.13140501360591883,0.11387913542714465,5000000
100,2.0,20,LP,42.51,0.11387913542714465,0.11387913542714465,nan
100,2.0,20,Greenkhorn,76.33,0.1293852361644685,0.11387913542714465,nan
100,2.0,50,Sinkhorn,247.74,0.11790356964530127,0.11387913542714465,5000000
100,2.0,50,LP,45.45,0.11387913542714465,0.11387913542714465,nan
100,2.0,50,Greenkhorn,83.53,0.1106670932630759,0.11387913542714465,nan
100,2.0,100,Sinkhorn,276.72,0.11483757796199454,0.11387913542714465,5000000
100,2.0,100,LP,46.44,0.11387913542714465,0.11387913542714465,nan
100,2.0,100,Greenkhorn,82.02,0.10214548079682376,0.11387913542714465,nan
100,2.0,200,Sinkhorn,285.97,0.11157102036940525,0.11387913542714465,5000000
100,2.0,200,LP,43.13,0.11387913542714465,0.11387913542714465,nan
100,2.0,200,Greenkhorn,78.16,0.08774666438298787,0.11387913542714465,nan
100,2.0,400,Sinkhorn,269.00,0.10425473668861425,0.11387913542714465,5000000
100,2.0,400,LP,42.81,0.11387913542714465,0.11387913542714465,nan
100,2.0,400,Greenkhorn,77.75,0.07904797044806515,0.11387913542714465,nan
200,1.0,20,Sinkhorn,575.12,0.32786796657867473,0.311295008284933,20000000
200,1.0,20,LP,252.85,0.311295008284933,0.311295008284933,nan
200,1.0,20,Greenkhorn,82.01,0.3059575566943431,0.311295008284933,nan
200,1.0,50,Sinkhorn,672.76,0.3131656077983407,0.311295008284933,20000000
200,1.0,50,LP,261.79,0.311295008284933,0.311295008284933,nan
200,1.0,50,Greenkhorn,86.44,0.2769365249968544,0.311295008284933,nan
200,1.0,100,Sinkhorn,743.50,0.3036767131149466,0.311295008284933,20000000
200,1.0,100,LP,253.42,0.311295008284933,0.311295008284933,nan
